"Country","Date","Statistic","Value"
"Nigeria",2014-11-14,"Cases",20
"Nigeria",2014-11-14,"Deaths",8
"Mali",2014-11-14,"Cases",4
"Mali",2014-11-14,"Deaths",3
"United States of America",2014-11-14,"Cases",4
"United States of America",2014-11-14,"Deaths",1
"Liberia",2014-11-14,"Cases",6878
"Liberia",2014-11-14,"Deaths",2812
"Sierra Leone",2014-11-14,"Cases",5586
"Sierra Leone",2014-11-14,"Deaths",1187
"Liberia",2014-11-19,"Cases",7069
"Liberia",2014-11-19,"Deaths",2964
"Spain",2014-11-19,"Cases",1
"Spain",2014-11-19,"Deaths",0
"Sierra Leone",2014-11-19,"Cases",6073
"Sierra Leone",2014-11-19,"Deaths",1250
"Senegal",2014-11-19,"Cases",1
"Senegal",2014-11-19,"Deaths",0
"Nigeria",2014-11-19,"Cases",20
"Nigeria",2014-11-19,"Deaths",8
"Mali",2014-11-19,"Cases",6
"Mali",2014-11-19,"Deaths",5
"United States of America",2014-11-19,"Cases",4
"United States of America",2014-11-19,"Deaths",1
"Guinea",2014-11-19,"Cases",1971
"Guinea",2014-11-19,"Deaths",1192
"Spain",2014-11-21,"Cases",1
"Spain",2014-11-21,"Deaths",0
"Liberia",2014-11-21,"Cases",7082
"Liberia",2014-11-21,"Deaths",2963
"Nigeria",2014-11-21,"Cases",20
"Nigeria",2014-11-21,"Deaths",8
"United States of America",2014-11-21,"Cases",4
"United States of America",2014-11-21,"Deaths",1
"Sierra Leone",2014-11-21,"Cases",6190
"Sierra Leone",2014-11-21,"Deaths",1267
"Mali",2014-11-21,"Cases",6
"Mali",2014-11-21,"Deaths",6
"Senegal",2014-11-21,"Cases",1
"Senegal",2014-11-21,"Deaths",0
"Guinea",2014-11-21,"Cases",2047
"Guinea",2014-11-21,"Deaths",1214
"Sierra Leone",2014-11-26,"Cases",6599
"Sierra Leone",2014-11-26,"Deaths",1398
"Liberia",2014-11-26,"Cases",7168
"Liberia",2014-11-26,"Deaths",3016
"Mali",2014-11-26,"Cases",8
"Mali",2014-11-26,"Deaths",6
"United States of America",2014-11-26,"Cases",4
"United States of America",2014-11-26,"Deaths",1
"Spain",2014-11-26,"Cases",1
"Spain",2014-11-26,"Deaths",0
"Nigeria",2014-11-26,"Cases",20
"Nigeria",2014-11-26,"Deaths",8
"Guinea",2014-11-26,"Cases",2134
"Guinea",2014-11-26,"Deaths",1260
"Senegal",2014-11-26,"Cases",1
"Senegal",2014-11-26,"Deaths",0
"Senegal",2014-12-01,"Cases",1
"Senegal",2014-12-01,"Deaths",0
"Mali",2014-12-01,"Cases",8
"Mali",2014-12-01,"Deaths",6
"Spain",2014-12-01,"Cases",1
"Spain",2014-12-01,"Deaths",0
"Sierra Leone",2014-12-01,"Cases",7109
"Sierra Leone",2014-12-01,"Deaths",1530
"Liberia",2014-12-01,"Cases",7635
"Liberia",2014-12-01,"Deaths",3145
"Nigeria",2014-12-01,"Cases",20
"Nigeria",2014-12-01,"Deaths",8
"Guinea",2014-12-01,"Cases",2155
"Guinea",2014-12-01,"Deaths",1312
"United States of America",2014-12-01,"Cases",4
"United States of America",2014-12-01,"Deaths",1
"Mali",2014-12-03,"Cases",8
"Mali",2014-12-03,"Deaths",6
"Spain",2014-12-03,"Cases",1
"Spain",2014-12-03,"Deaths",0
"Guinea",2014-12-03,"Cases",2164
"Guinea",2014-12-03,"Deaths",1327
"Senegal",2014-12-03,"Cases",1
"Senegal",2014-12-03,"Deaths",0
"Sierra Leone",2014-12-03,"Cases",7312
"Sierra Leone",2014-12-03,"Deaths",1583
"Liberia",2014-12-03,"Cases",7635
"Liberia",2014-12-03,"Deaths",3145
"United States of America",2014-12-03,"Cases",4
"United States of America",2014-12-03,"Deaths",1
"Nigeria",2014-12-03,"Cases",20
"Nigeria",2014-12-03,"Deaths",8
"Spain",2014-12-10,"Cases",1
"Spain",2014-12-10,"Deaths",0
"Guinea",2014-12-10,"Cases",2292
"Guinea",2014-12-10,"Deaths",1428
"Senegal",2014-12-10,"Cases",1
"Senegal",2014-12-10,"Deaths",0
"Mali",2014-12-10,"Cases",8
"Mali",2014-12-10,"Deaths",6
"Liberia",2014-12-10,"Cases",7719
"Liberia",2014-12-10,"Deaths",3177
"Sierra Leone",2014-12-10,"Cases",7897
"Sierra Leone",2014-12-10,"Deaths",1768
"Nigeria",2014-12-10,"Cases",20
"Nigeria",2014-12-10,"Deaths",8
